hindi,english
कटा हुआ बनावट की अधिकतम बेकार क्षेत्र,Maximum waste area of a sliced texture
हालिया खोज (_ S) ,Recent Searches
शीर्षिका,header
क्या अंतर्वेषित घटनाओं उत्सर्जन सक्षम है. ,Whether interpolated events emission is enabled.
मुख्य फोकस,Key Focus
स्थानीय प्रयोक्ता व्यस्त है,Local user is busy
मॉडल से रूट नोड सेट करें,Set the root node from the model
आप को इस स्थान पर लिखने के लिए जरूरी अनुमति नहीं है,You do not have the required permission to write at this location
आयात को डाटाबेस,Import snippets to the database
तालाबंद,Locked
Y अक्ष पर स्केल कारक,Scale factor on the Y axis
चालू बर्निंग प्रक्रिया,Ongoing burning process
लाल पान का सत्ता,seven of hearts
ईंट का दुक्का,the two of diamonds
प्लगिन के द्वारा लागू अंतरफलक,Interface implemented by the plugin
जारी रखें a के साथ परस्पर विरोध,Continue a rebase with resolved conflicts
प्रोजेक्ट खोलें,Loading project. Please wait...
बुकमार्क जोड़ें (A) ,Toggle Bookmark
सहायक विंडो की Y स्थिति. ,The Y position of the assistant window.
"यदि आप इसे बनाए रखना चाहते हैं, प्रोग्राम फ़ाइल प्रकार को ठीक से पहचानने में समर्थ नहीं है. ","If you choose to keep it, programs may not be able to recognize the file type properly."
समूह से फ़ाइल सिस्टम. ,The group will be deleted from the file system.
परियोजना खोलें,Open Project
ब्रेकपाइंट समायोजित करें,Toggle Breakpoint
इस परियोजना का आकार काफी बड़ा है डिस्क के लिए यहाँ तक कि अतिलेखन विकल्प के साथ. ,The project is too large for the disc even with the overburn option.
सो रहें हैं,Sleeping
लंबी प्रेस दहलीज,Long Press Threshold
आंकड़ा परियोजना खोलें जो कि URI को जोड़ते हुए दिए हुई कमांड लाइन पर,Open a data project adding the URIs given on the command line
रीयल्मः,Realm:
दिखाएँ लकीर,Show line numbers
ठोस रंग,Solid color
ईंट,diamonds
इनलाइल डिक्लेरेशन और कार्यान्वयन,Inline the declaration and implementation
विक्रेता टैगः,Vendor tag:
उपलब्ध डिस्क के लिए खोज रहा है,Searching for available discs
एकल चरण बाहर का फंक्शन,Single step out of function
मुझसे से पूछें,Ask me
को मिटाएँ अनुसरण कर रहा है पैकेज से नहीं नहीं,Are you sure you want to remove the following package from the project?
चेतावनीः,warning:
समय,Time
Vertigo,Vertigo
खण्डन बिन्दु,_ Breakpoints
खंड,section
~ a को एक हुकुम की बेगम पर ले जाएँ,Move ~ a onto the queen of spades.
सूचना दस्तावेज़ीकरण,Info Documentation
परियोजना के साथ बाजू फलक दिखाएँ,Show a side pane along the project
एसवीसीडी छवि,SVCD image
#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#उपयोगकर्ता का नाम #-#-#-#-#eel. HEAD. hi. po (eel VERSION) #-#-#-#-#उपयोगकर्ता का नामः (_ U) ,Hostname:
डीवीडी-रोम,DVD - ROM
सक्षम करें अक्षम लकीर,Enable / disable line wrapping
SDL,SDL
पासः,Pass:
कृपया किसी लिखने योग्य सीडी या डीवीडी को घुसाएँ. ,Please insert a writable CD or DVD.
सी डी,C
आपको नई परियोजना चुनने की छूट देता है,Let you choose your new project
स्रोत डिस्क रखने वाले बर्नर में नया डिस्क,New disc in the burner holding source disc
Y अक्ष पर घुमाव कोण,The rotation center on the Y axis
Helgrind,Helgrind
डिफ चयनित,Diff Selected Revisions
रीसेट स्टिकी टैग,Reset sticky tags
हॉपस्कॉच,Hopscotch
सेट प्रोग्राम. ,"Set current program, arguments, etc."
सभी सक्षम करें,Enable _ all
सहायक विंडो की चौड़ाई. ,The width of the assistant window.
टेंपोरल स्पासियल ट्रैड ऑफ,Temporal Spatial Trade Off
क्या अल्फा घटक के स्टेज रंग का महत्त्व है,Whether to honour the alpha component of the stage color
ताश शैली (_ C) ,_ Card Style
~ a को एक खाली दाएँ स्लॉट में ले जाएँ. ,Move ~ a onto an empty right slot.
ट्रिगर घुसाएँ,_ Trigger insert
तरू-सारणी,tree item
प्रकार बेमेल,Type mismatch
छुपी फ़ाइलें फिल्टर करें (_ h) ,Filter _ hidden files
% s (library) ,% s (library)
मान बदल चुका है यह बताने हेतु उपयोग में आता है,Is used to notify that the value has changed
डिस्क पर कोई खराब फाइल नहीं हो सकती है,There seem to be no corrupted files on the disc
बिल्ड के लिएः,Build for check only:
आईएम वार्तालाप,IM Conversation
एकल बर्स्ट में लेने के लिए तस्वीर की संख्या,The number of photos to take in a single burst.
चयन (_ S) ,_ Selection
नया,New
डिफ़ॉल्ट मान,Default value
लेखन ट्रैक% 02i,Writing track% 02i
फ़ाइल पॉपअप,File manager popup actions
मोड्यूल गुण,Module properties
अनुलंब अक्ष में बच्चे के लिए अतिरिक्त स्थान आबंटित,Allocate extra space for the child in vertical axis
ताशों को फेंट कर देखें,Try dealing a row of cards
सक्रिय चार्ट,Active Chart
"चुना गयी ध्वनि कॉल के अंत में खेली जायेगी या किसी को कॉल करना अगर कोई व्यस्त है, अगर सक्रिय किया जात है","The chosen sound will be played at the end of calls or calling somebody who is busy, if enabled"
टारबाल बिल्ड करें (_ T) ,Build _ Tarball
डिस्क की नक़ल करें,Copy a disc
% s संबंध के लिए अन्योन्य गायब है,Missing reciprocal for% s relation
हाल में खेला गया (_ R) ,_ Recently Played
पहुँच योग्य सारणी पंक्ति शीर्षिका,Accessible Table Row Header
कृपया निश्चित करें कि आपका इंटरनेट कनेक्शन सक्रिय है और ठीक से काम कर रहा है. ,Please ensure that your Internet connection is active and working correctly.
ट्रैक के लिए 2 सेकेंड का ठहराव दें,Add a 2 second pause after the track
अस्थायी फ़ाइल के लिए स्थान (_ T) ,Location for _ Temporary Files
सभी खण्डन बिन्दु हटाएँ,Remove all breakpoints
% s ध्वनि% s में,Audio% s in% s
चुनें कि कार्ड खींचना है या गंतव्य के बजाय श्रोत पर क्लिक करना है. ,Select whether to drag the cards or to click on the source then the destination.
सी फ्लैग्सः,Objective C compiler flags:
#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#पुनः करें #-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#पुनः करें #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#फिर से करो (R) #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#पुन करें,_ Redo
मौजूदा सम्मिलित डिस्क खाली नहीं किया जा सका. ,The currently inserted disc could not be blanked.
पथः,Path:
VIDEO _ TS निर्देशिका अनुपस्थित है या अवैध है,VIDEO _ TS directory is missing or invalid
सीडी छवि सफलतापूर्वक बनाया गया,Image of CD successfully created
साफ करें सभी पाठ,Clear all highlighted text
प्लगइन (_ l) ,P _ lugins
Anjuta के लिए,Anjuta shell for which the plugins are made
सी फ्लैग्सः,Objective C compiler flags:
परिवर्धित से. ,Modified:% s
तेज चुनाव,Quick Select
यहाँ जाएँ,Go to
रेखांकित,Underline - Squiggle
चलाने के लिए लक्ष्य लोड करें,Load Target to run
क्या आप किसी तरह से जारी रखना चाहते हैं? ,Do you want to continue anyway?
लाल पान का चव्वा,four of hearts
स्थान-विशिष्ट,Locale
कम से कम एक फील्ड को निर्धारित करें मिलाने के लिए,You must specify at least one field for matching
सहायता (_ H) ,_ Help
नयी फाइल,New file
है नहीं. ,This property is not modifiable.
डिबगर प्रारंभ करें,Start Debugger
सीवीएस: फ़ाइल/निर्देशिका जोड़ें,CVS: Add file / directory
निवेदित वीडियो प्रारूप को आपका वीडियो ड्राइवर समर्थन नहीं करता है. ,Your video driver doesn 't support the requested video format.
लोड हो रहा है से. नहीं,Loading Executable:% s
अगला कार्ड या कार्ड्स की डील करें,Deal next card or cards
संपादक फ़ाइल,Editor file operations
make (\\ [\\d + \\])?: \\s + Entering\\s + directory\\s + `(. +) ',make (\\ [\\d +\\])?: \\s + Entering\\s + directory\\s + `(. +) '
इसके आवंटन के भीतर एक्स अक्ष पर कर्ता की पंक्तिबद्धता,The alignment of the actor on the X axis within its allocation
फंक्शन,Function
इंडेन्टेशन और स्वचालित विकल्प,Indentation and auto - format options
वैकल्पिक वस्तु,redundant object
उपयोग के लिए प्रयोक्ता अतरफलकः,Use GtkBuilder for user interface:
डिस्क की आँकड़ा अखंडता जाँचें,Check data integrity of disc
"""प्रकार"" तत्व% d पंक्ति, कॉलम% d पर <sub> के अंदर आवश्यक हैं","""type"" element is required inside < keyword > on line% d, column% d"
~ a को चिड़ी का नहला पर ले जाएँ,Move ~ a onto the nine of clubs.
Anjuta प्लगइन,Anjuta shell that will contain the plugin
ट्रस्ट सर्वर,Trust server
सहायक विंडो की ऊँचाई. ,The height of the assistant window.
एक पत्ते बांट,Single card deals
चिड़ी का चौवा,four of clubs
रुक गया,Stopped
प्रबंधक जो इस डेटा को निर्मित किया हैdefault: RTLpredefinito: LTR,The manager that created this data
बिल्ड से. ,_ Build (% s)
असफल को मिटाएँ से. नहीं से. ,Failed to remove '% s':% s
चीज (_ C) ,_ Cheese
जोड़ा गया,Added
लाल पान का छक्का,six of hearts
सभी चुनें,Select Tool:
अतिरिक्त वस्तु फ़ाइल के लिए यह लक्ष्य. ,Additional object files for this target.
ब्रैसेरो-नया छवि फ़ाइल,Brasero — New Image File
कमांड? ,Command?
ब्रिस्टल,Bristol
वर्णनः,Description:
"यदि नियत है, जब पाठ ज्यादा चौड़ा हो तो पंक्तियाँ व्रेप करें","If set, wrap the lines if the text becomes too wide"
कर्ता का Y निर्देशांक,Y coordinate of the actor
पहले प्रयोग कर रहा है यह नया विन्यास डिफ़ॉल्ट एक को को? ,"Before using this new configuration, the default one needs to be removed. Do you want to do that?"
संशोधनः,Use revision:
बहिष्कृत URIs विभाजन,Excluded partitions URIs
आयात को डाटाबेस,Import snippets to the database
#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#वरीयता #-#-#-#-#gnome-applets. gnome-2-2. hi. po (gnome-applets 2. x) #-#-#-#-#वरीयता #-#-#-#-#gnome-media. HEAD. hi. po (gnome-media 2.0) #-#-#-#-#वरियताएँ #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#प्राथमिकताएँ,_ API Reference
मादा मकड़ी,Spiderette
ठहरें,Pause
तस्वीर लें (_ T) ,_ Take a photo
डिफ को पिछला,Diff to Previous
गलत आग्रह,Bad request
जानकारी पट्टी,info bar
जेनेरिक,Generic
1number,1
के बारे में (_ A) ,_ About
"This program is free software; you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version 2 of the License, or (at your option) any later version. This program is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more details. You should have received a copy of the GNU General Public License along with this program. If not, see http:// www. gnu. org/licenses/","This program is free software; you can redistribute it and / or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version 2 of the License, or (at your option) any later version. This program is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more details. You should have received a copy of the GNU General Public License along with this program. If not, see http: / / www. gnu. org / licenses /"
H. 239 सक्रिय करें,Enable H. 239
अंजूटा,Anjuta Plugins
चिड़ी का सत्ता,seven of clubs
जोड़ें a नया लक्ष्य को,Add a new target to the project
कई मीडिया पर फ़ाइलों का चयन लिखें,Burn the selection of files across several media
नहीं चयनित,No revision selected
~ a को हुकुम का पंजा पर घुमाएँ. ,Move ~ a onto the five of spades.
पूरा होने पर हटायें,Remove on Complete
प्रत्यक्ष प्रविष्टि,Direct entry
परेशान नहीं करें,Do Not Disturb
छोटे रूप में दिखाएँ,Zoom out
आर्गुमेंट्सः,Arguments:
मुख्य विंडो की ऊँचाई,Height of main window
नया फोल्डर% i,New folder% i
शॉर्टकट,Shortcut
सबवर्सन पुनःप्राप्त कर रहा है फ़ाइल,Subversion: Retrieving file…
उभारें और इंच,Highlight build warnings and errors in editor
फंक्शन,Function
चीज,Cheese
कालम के बीच की दूरी,Column spacing
स्मार्ट हाशिया सक्रिय करें,Enable smart indentation
लंगर की संख्या,Number of Anchors
फ़ाइल वैध. desktop फ़ाइल नहीं है,File is not a valid. desktop file
मौज़ूदा लकीर इंच,Current line in editor
दृश्य फ़ाइल,View file history
अवधि पाने के दौरान त्रुटि,Error while getting duration
विभाग पृष्ठों खंड नाम के जरिए और अक्षर और नहीं,"Section where are installed the man pages. Valid section names are the digits ‘0’ through ‘9’, and the letters ‘l’ and ‘n’."
स्टाक में से पत्ता निकालें,Deal a card from stock
चुनो टेक्स्ट,_ Select Text
क्षैतिज लेआउट सेट करें,Set a horizontal layout
कोई विवरण नहीं,(no description)
प्रारंभ,Starter
ब्रैसेरो के लिए प्लगिन चुनें,Choose plugins for Brasero
अनुपस्थित स्क्रिप्ट इंच से.. ,Cannot configure project: Missing configure script in% s.
छवि सफलतापूर्वक बनाई गई,Image successfully created
सीडी व डीवीडी की नक़ल करें,Copy CD / DVD
--unlink-tempfile विकल्प के लिए एक-- include तर्क की जरूरत है. ,The - - unlink - tempfile option needs a - - include argument.
पथ,Base Path
प्लगइन के लिए प्राथमिकता मान,The priority value for the plugin
कर्ता में कोई क्रिया जोड़ रहा है,Adds an action to the actor
अगला प्रभाव,No Effect
रैण्डर करने के लिए पाठ,Text to render
ऑफसेट,Offset
ग्लेनवुड,Glenwood
विडियो डीवीडी बर्निंग का सिमुलेशन,Simulation of video DVD burning
पोकर हाथ तैयार करने हेतु ताश के पत्तों को जमाएँ,Place cards on to the Tableau to form poker hands
मान,Val _ ue
'% s-- help' को उपलब्ध कमांड लाइन विकल्पों की पूरी सूची के लिए चलाएँ. ,Run '% s - - help' to see a full list of available command line options.
का प्रोग्राम,Pauses the execution of the program
चुने हुए शीर्ष,_ Selected Headers
"अज्ञात विकल्प, अधिक सूचना के लिए ""-- help-options"" प्रयोग करें. ","unknown option, use ""- - help - options"" for more information."
सेकण्डparts,seconds
वीडियो डीवीडी नहीं खोली जा सकी,Video DVD could not be opened
FAQ,FAQ
Vob किसी वीडियो फाइल को वीडियो DVD के लिए उपयुक्त प्रारूप में ट्रांसकोड करने की छूट देता है,Converts any song file into a format suitable for audio CDs
फ्रेम,Frame
कमिट,_ Commit…
वीडियो डीवीडी नहीं खोली जा सकी,Video DVD could not be opened
बग रिपोर्ट बनाते समय एक त्रुटि हुई थी,There was an error creating the bug report
आयात विकल्प,Import options
सक्रिय चार्ट,Active Chart
the search expression,Replace With:
कृपया लक्ष्य नाम,Please specify target name
लिखने के पहले सिमुलेट करें (_ S) ,_ Simulate before burning
नई संसाधन सूची जोड़ें,Add new resource - list
स्वचालित अद्यतन,Automatic Updates
स्पाइडर तीन डेक,Spider Three Decks
हुकुम का गुलाम,the jack of spades
एक बेगम को आप ढूंढ रहे हैं. ,You are searching for a queen.
लेखन रोधी (burn _ proof) प्रयोग करें (विफलता का जोखिम कम करें) ,Use burn _ proof (decrease the risk of failures)
प्रयोक्ता,User
%. 1f× (CD) ,%. 1f× (CD)
खेल के पास कोई हल नहीं है. वापस ले या फिर शुरू करें. ,The game has no solution. Undo or start again.
सक्षम,Enabled
शब्दकोष,Binary
छोडें a फ़ाइल या क़िस्म a को a फ़ाइल या,Whole project; Drop a file here or type a path to view a file or folder log
GObject Class\t,GObject Class\t
मुख्य विंडो की ऊँचाई,Height of main window
मदद,Help
कोई फ़ाइल को नहीं बनाया जा सका अस्थायी फ़ाइल के लिए बताए स्थान पर,A file could not be created at the location specified for temporary files
श्रोत पथ जोड़ें... ,Add source paths…
% s को सहेज नहीं सका,Could not save% s
ब्रैसेरो मीडिया लाइबेरी के लिए विकल्प दिखाएँ,Display options for Brasero media library
कर्सर रखता है,Has Cursor
बहुल स्कोरिंग,Multiplier Scoring
कोई बर्नर निर्दिष्ट नहीं,No burner specified
प्लेबैक की मौजूदा प्रगति,Current progress of the playback
x अक्ष के ओर दीर्घवृत्त का झुकाव,Tilt of the ellipse around x axis
घुमाव कोण Z,Rotation Angle Z
फ्रेम,Frame
पादिका,Footer
उपयोग के लिए प्रयोक्ता अतरफलकः,Use GtkBuilder for user interface:
अगला ढूंढें (_ N) ,Find _ Next
देखें (_ V) ,_ View
संपादित करें (_ E) ,_ Edit
अज्ञात त्रुटि इंच से. ,Unknown error in module% s
ढूंढा जा रहा है,Searching
नहीं समूह चयनित,No group selected
पास गिनतीः,_ Pass count:
Qcard symbol,Q
डिस्क कॉपी करें,Copying Disc
"""% s"" खोली नहीं जा सकी. ","""% s"" could not be opened."
उन प्लग-इनों की सूची जिन्हें डिफोल्ट रूप से निष्क्रिय किया गया है,A list of plugins that are disabled by default
जावा श्रोत फ़ाइल,Java source files
नया निर्देशिका,New _ Folder…
नियंत्रण,Control
आयात से संस्करण नियंत्रण सिस्टम,Import from version control system
परस्पर विरोध,_ Resolve Conflicts…
~ a को काला जोकर पर ले जाएँ. ,Move ~ a onto the black joker.
स्वतः पूर्ण,_ Auto - Complete
कृपया गाने को परियोजना में जोड़ें. ,Please add songs to the project.
क्रैश से सूचना संग्रह किया जा रहा है... ,Collecting information from the crash…
वातावरण,Environment
समर्थन के लिए इंच,Adds support for internationalization so that your project can have translations in different languages
पास,Pass
Y आरंभ स्केल,Y Start Scale
पहुँच योग्य सारणी शीर्षक वस्तु,Accessible Table Caption Object
रूपांतरित करें (_ T) ,_ Transform
दिखाएँ कर्नेल संकेत,Show kernel signals
शीर्ष किनारे पर अतिरिक्त स्थान,Extra space at the top
पंजीकृत करें,Register
छाँटें,Sort shortcuts
नाम (_ N): ,_ Name:
Berkeley Software Distribution License (BSD) ,Berkeley Software Distribution License (BSD)
अन्वेषण और प्रतिस्थापन,Find and R _ eplace…
X अक्ष पर घुमाव कोण,The rotation center on the X axis
हुकुम का चव्वा,the four of spades
"""% s"" में कोई डिस्क नहीं है. ","There is no disc in ""% s""."
"""% s"" के संस्करण बहुत पुरानी है","The version of ""% s"" is too old"
खोलें '% s' ,Open '% s'
Anjuta वर्ग जनक प्लगिन,Anjuta Class Generator Plugin
उपकरण-पट्टी दिखाएँ या नहीं,Whether or not to show the toolbar
नियंत्रण शैली,Control Style
मान बदलें,Change Value
ब्रेकपाइंट संख्या से. नहीं,Breakpoint number% s hit
बचा मालः,Stock left:
फ़ाइल,File
ब्रैसेरो के लिए प्लगिन चुनें,Choose plugins for Brasero
अन्य कॉपी बनाएँ (_ A) ,Make _ Several Copies
निवेदित URI काफी बड़ा,Request URI too long
आँकड़ा डिस्क (% s) ,Data disc (% s)
लंबबत खाका (_ V) ,_ Vertical Layout
अज्ञात पत्ता,the unknown card
असफल को मिटाएँ से. नहीं से. ,Failed to remove '% s':% s
कोई पारंपरिक ऑडियो CD बनाएँ,Create a traditional audio CD
जीडीबी पहले ही बाहर हो गया है,gdb has already exited
मिटाने की पुष्टि करें,Confirm remove
आईडी,ID
चयनित पाठ रंग सेट,Selected Text Color Set
संतृप्ति,Saturation
जारी रखें,Continue
एकल प्लग-इन दृश्य,_ Single plugins view
"क्या ""-use-the-force-luke = dao"" फ्लैग को growisofs के साथ प्रयोग करना है. इसे गलत पर सेट करें, ब्रैसेरो इसे प्रयोग नहीं करेगा; यह कुछ ड्राइव/सेटअप के साथ समाधान के रूप में होता है. ","Whether to use the ""- use - the - force - luke = dao"" flag with growisofs. Set to false, brasero won 't use it; it may be a workaround for some drives / setups."
अद्यतन,Up - to - date
सफलता,Success
ट्रैक को इसके अंत में पैडेड किया जाएगा. ,The track will be padded at its end.
चिड़ी का छक्का,the six of clubs
जोड़ें फ़ाइल (_ A) ,_ Add File
चिन्हित किया हुआ,Flagged
खाता,Accounts
"""% s"" में डिस्क पर पर्याप्त स्थान उपलब्ध नहीं है. ","Not enough space available on the disc in ""% s""."
प्रोजेक्ट बंद करें,Install whole project
संस्करणः,Version
परियोजना नामः,Project name:
पंजीकृत करें फंक्शन,Register Function
Xlib dock,Xlib dock
नाम बदलें,Rename
क्या कर्ता कार्यक्रम के प्रति प्रतिक्रिया दे रहा है,Whether the actor is reactive to events
एक खाली तस्वीर,an empty tableau
जोड़ें (_ A) ,_ Add
अल्फा मान,Alpha value
ट्रैक 6 सेकेंड से कम है,The track is shorter than 6 seconds
पहचान,_ Identities...
फ़ाइल वैध. desktop फ़ाइल नहीं है,File is not a valid. desktop file
खोज सेवा चल नहीं रहा है,Search service stopped
फंक्शन,Function
वीडियो सेटिंग विंडो के स्क्रीन की स्थिति,Position on the screen of the video settings window
Text Icons Text + Icons Gnome toolbar setting Tabs,Text Icons Text + Icons Gnome toolbar setting Tabs
पुनःप्राप्त कर रहा है स्थिति,Retrieving status……
सीकैम (फ्रांस) ,SECAM (France)
DAO प्रयोग की अनुमति दें,Allow DAO use
कोहरा,Fog
टिप्पणीः,Comment:
फोल्डर आकार जाँचें और उपलब्ध डिस्क स्थान,Check folder sizes and available disk space
आयतन का आकार लौटाया नहीं जा सका,The size of the volume could not be retrieved
परियोजना को सेट,Project doesn 't allow to set properties
सूची में से हटाएँ,Removing duplicates failed:% s
बदलाव त्यागें (_ D) ,_ Discard changes
आउटपुट छोड़ें,Discard output
रेंडर के लिए पिक्सबफ,The pixbuf to render.
फ़ाइल से. पर को बंद करें? ,"The file ""% s"" has been deleted on the disk. Do you want to close it?"
चेतावनीः वाक् पैरामीटर लगाने में असमर्थ,Warning: unable to set speech parameters
पेटी गैर समरूपता,Box non - uniformity
चिड़ी का नहला,nine of clubs
स्थान जिसे आप छवि को जमा करने के लिए चुनते हैं वह डिस्क छवि के लिए पर्याप्त खाली स्थान नहीं रखता है,The location you chose to store the image on does not have enough free space for the disc image
API संदर्भ,_ API Reference
निर्देशिका सेट करें जहाँ अस्थायी फाइल जमा करना है,Set the directory where to store temporary files
कुंजी बंधन,Key binding
GObject Class\t,GObject Class\t
फ़ाइल का पुनर्नामकरण,File Renaming
क्या ड्रैग क्षेत्र सेट कर दिया जाता है,Whether the drag area is set
पुष्टिकरण,Configuration:
हल से. ,Resolved:% s
दिखाएँ दायाँ,Edit widget margins
चयनित फ़ाइल नाम इंच प्लगइन,Selected full file name in the project manager plugin
प्रोजेक्ट साफ करें (_ C) ,_ Clean Project
बताए स्थान पर छवि नहीं बनाई जा सकी,The image could not be created at the specified location
जोड़ें,Attach
मुख्य विंडो के Y स्थिति,Y position of main window
"""% s"" में डिस्क पर पर्याप्त स्थान उपलब्ध नहीं है. ","Not enough space available on the disc in ""% s""."
निगरानी,Branches
डायरेक्ट्री,Directory filter:
प्रिंट पूर्व दर्शन,_ Print Preview
क्षैतिज विस्तार,Horizontal Expand
बिल्ड से. ,_ Build (% s)
निरपेक्ष स्थिति,Absolute position
सक्रिय करें (_ c) ,A _ ctivate
आउटपुट छोड़ें,Discard output
क्या चयन रंग सेट किया गया है,Whether the selection color has been set
देखने का स्रोत,View Source
जेएस समर्थन प्लगइन,JS Support Plugin
अंत का रोकें,_ End of Block
खींचना शुरू करने के लिए आवश्यक पिक्सेल की लंबवत राशि,The vertical amount of pixels required to start dragging
एंकर एक्स,Anchor X
प्रोफ़ाइल,Profiles
बल्सा फिल्टर,Balsa Mail Client
आप a कमांड! ,You must provide a tool command!
चयनित फ़ाइल नाम इंच प्लगइन,Selected full file name without extension in the project manager plugin
लगता है मुझे तुरंत अपनी पीठ खुजानी पड़ेगी... ,I could sure use a backrub right about now...
"""% s"" के संस्करण बहुत पुरानी है","The version of ""% s"" is too old"
लाल पान का बादशाह,king of hearts
एस्केलेटर,Escalator
बाइंडिंग पूल की अनोखी नाम,The unique name of the binding pool
डैरक्टरी चुनो,Select file to remove:
पत्रिका का पता लगायें,Trace Journal
मनपसंद रंग योजनाः,Custom colour scheme:
एस्केलेटर,Escalator
दस्तावेज़,Documents
बिल्ड आटोटूल,Build Autotools
चयनित यूआरआई इंच प्लगइन,Selected URI in the project manager plugin
अज्ञात गीत,Unknown song
सभी मिटाएँ,Remove all
प्लगिन के लिए प्रतीक फाइल,Icon file for the plugin
YUV बनावट समर्थित नहीं हैं,YUV textures are not supported
यह समूह नाम संपादित करें,Please edit this group name
"Brasero is free software; you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version 2 of the License, or (at your option) any later version. ","Brasero is free software; you can redistribute it and / or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version 2 of the License, or (at your option) any later version."
ध्वनि,Sound
ईंट का दहला हटाएँ. ,Remove the seven of diamonds.
~ a को चिड़ी का नहला पर ले जाएँ,Move ~ a onto the nine of clubs.
आधार पर एक पत्ता ले जाएँ,Play a card to foundation.
आयात स्निपेट,Import Snippets
सभी,All
आपके तंत्र में GDB नहीं मिल सका. डिबगिंग सूचना प्राप्त नहीं की जा सकेगी. ,GDB could not be found on your system. Debugging information will not be obtained.
कर्ता जिसमें मेटा संलग्न है,The actor attached to the meta
अपारिभाषित,undefined
आपका ईमेल पता (_ e): ,Your _ email address:
लिखने के लिए तैयारी कर रहा है,Preparing to write
कृपया एंटर लेखक से. e. ,Please enter the commit author 's e - mail address.
ParamSpec,ParamSpec
मिले-जुले,Mixed
सबवर्सन मिलाएं पूर्ण. ,Subversion: Merge complete.
रद्द करें,_ Cancel
चिपकाएँ का क्लिपबोर्ड एट स्थिति,Paste the content of clipboard at the current position
ट्रैक% 02i का विश्लेषण कर रहा है,Analysing track% 02i
त्रुटि process. ,Error whilst signaling the process.
अवैध सर्वर URI,Invalid Server URI
रीसेट/उलटें,Reset / Revert
एक रंग चुनें,Pick a color
अद्यतनीकृत से. ,Updated:% s
दृश्य,View
"क्या आप वाकई चयन में ""% s"" को जोड़ना चाहते हैं और इसे समर्थन देने के लिए ISO9660 मानक के तीसरे संस्करण को प्रयोग करना चाहते हैं? ","Do you really want to add ""% s"" to the selection and use the third version of the ISO9660 standard to support it?"
नमूना फाइल आपरेशन,Glade designer operations
मोड्यूल गुण,Folder properties
ज़ेनेरिक,Generic
डैशर प्राथमिकता,Dasher Preferences
Z अक्ष पर अनुवाद,Translation along the Z axis
परियोजना निर्देशिका आउटपुट फ़ाइल. ,"Project directory, output file etc."
कचरे में भेजें,"Moved to ""% s""."
_ URI अग्रसारित करेंः,Forward _ URI:
विकास वातावरण,Integrated Development Environment
"क्या आप ""% s"" को बदलना चाहते हैं? ","Do you want to replace ""% s""?"
कार्यशील नक़ल पथः,Working Copy Path:
अधिष्ठापन निर्देशिकाः,Installation directories:
ढूंढें के लिए से. उपर और एट नीचे नहीं नया पाया. ,"Search for ""% s"" reached top and was continued at the bottom but no new match was found."
स्थानीय कॉपी करें के साथ सीवीएस ट्री,Syncronize your local copy with the CVS tree
औजार (_ T) ,_ Tools
अंतिम बिना सहेजी परियोजना (_ U) ,Last _ Unsaved Project
पासवर्ड सर्वर,Password server (pserver)
बफर बदलें,Replace buffer
वीडियो चैनल,Video channel
~ a को लाल पान का सत्ता पर घुमाएँ. ,Move ~ a onto the seven of hearts.
कृपया फिर लिखने लायक डिस्क डालें जो आँकड़ा रखता है,Please insert a rewritable disc holding data.
आधार पत्ताः,Base Card:
"यदि आप नई परियोजना बनाने के लिए चुनते हैं, सभी परिवर्तन नष्ट हो जाएंगे. ","If you choose to create a new empty project, all changes will be lost."
बंद करें,Close
उनके लक्ष्य मुताबिक सांकेतिक कड़ी बदलें,Replace symbolic links by their targets
यह निर्दिष्ट स्थान पर मौजूद नहीं है,It does not exist at the specified location
चिड़ी का अट्ठा,eight of clubs
वर्ग नामः,Class Name:
डॉयलपेड देखें,View the dialpad
#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#उपयोगकर्ता का नाम #-#-#-#-#eel. HEAD. hi. po (eel VERSION) #-#-#-#-#उपयोगकर्ता का नामः (_ U) ,Username:
